step,KE,PE,T_insta,P_insta
298,288.881,-311.3969,90.8056,2.9266
299,289.4156,-311.917,90.9736,2.9185
300,289.9234,-312.4149,91.1332,2.9108
301,290.4136,-312.8997,91.2873,2.9033
302,290.8946,-313.3783,91.4385,2.8959
303,291.3717,-313.8544,91.5885,2.8887
304,291.8466,-314.3271,91.7378,2.8817
305,292.3158,-314.7907,91.8853,2.875
306,292.771,-315.2339,92.0283,2.8686
307,293.1985,-315.6411,92.1627,2.8629
308,293.5807,-315.9931,92.2829,2.858
309,293.8976,-316.2695,92.3825,2.8543
310,294.1285,-316.4497,92.455,2.8519
311,294.2537,-316.5155,92.4944,2.8511
312,294.2565,-316.4524,92.4953,2.852
313,294.125,-316.2509,92.4539,2.8548
314,293.8526,-315.9076,92.3683,2.8594
315,293.439,-315.4254,92.2383,2.8659
316,292.8901,-314.8134,92.0658,2.8742
317,292.2184,-314.0866,91.8546,2.8839
318,291.4414,-313.2654,91.6104,2.895
319,290.5814,-312.3737,91.3401,2.907
320,289.6642,-311.4383,91.0518,2.9196
321,288.7172,-310.487,90.7541,2.9324
322,287.7677,-309.546,90.4556,2.9452
323,286.8408,-308.6389,90.1643,2.9576
324,285.958,-307.7849,89.8868,2.9694
325,285.1358,-306.9973,89.6283,2.9804
326,284.3843,-306.2831,89.3921,2.9906
327,283.7075,-305.6431,89.1794,2.9999
328,283.1033,-305.073,88.9894,3.0083
329,282.565,-304.5638,88.8202,3.016
330,282.0822,-304.1043,88.6685,3.023
331,281.6428,-303.6819,88.5304,3.0294
332,281.2345,-303.2849,88.402,3.0354
333,280.8462,-302.903,88.2799,3.0412
334,280.469,-302.529,88.1614,3.0467
335,280.0971,-302.1587,88.0445,3.052
336,279.7281,-301.7913,87.9285,3.057
337,279.3632,-301.43,87.8138,3.0617
338,279.007,-301.0808,87.7018,3.0661
339,278.6672,-300.7531,87.595,3.07
340,278.3545,-300.4587,87.4967,3.0733
341,278.0819,-300.2117,87.411,3.0757
342,277.8645,-300.0279,87.3427,3.077
343,277.7185,-299.9239,87.2968,3.077
