step,KE,PE,T_insta,P_insta
344,276.1694,-300.0985,86.8099,3.0782
345,276.0293,-300.0104,86.7658,3.0772
346,275.9942,-300.036,86.7548,3.0747
347,276.0852,-300.1975,86.7834,3.0701
348,276.3209,-300.5111,86.8575,3.0634
349,276.715,-300.988,86.9814,3.0544
350,277.2758,-301.6349,87.1576,3.0428
351,278.0055,-302.4493,87.387,3.0289
352,278.8998,-303.4942,87.6681,3.0119
353,279.9549,-304.6215,87.9998,2.9937
354,281.1495,-305.8789,88.3753,2.9738
355,282.4641,-307.2452,88.7885,2.9523
356,283.8756,-308.6963,89.2322,2.9295
357,285.3593,-310.2066,89.6986,2.9058
358,286.8891,-311.9412,90.1795,2.8796
359,288.4377,-313.4907,90.6662,2.8552
360,289.9811,-315.0227,91.1514,2.831
361,291.4951,-316.5138,91.6273,2.8073
362,292.9572,-317.9428,92.0869,2.7843
363,294.3476,-319.2912,92.5239,2.7623
364,295.6493,-320.5436,92.9331,2.7416
365,296.8485,-321.6878,93.3101,2.7223
366,297.9347,-322.7151,93.6515,2.7045
367,298.9007,-323.6195,93.9551,2.6883
368,299.7421,-324.3984,94.2196,2.6739
369,300.4575,-325.0512,94.4445,2.6611
370,301.0476,-325.58,94.63,2.65
371,301.5151,-325.988,94.7769,2.6406
372,301.8643,-326.3241,94.8867,2.6319
373,302.101,-326.5069,94.9611,2.6256
374,302.231,-326.5864,95.002,2.6208
375,302.2613,-326.1917,95.0115,2.6188
376,302.2034,-326.0904,94.9933,2.6168
377,302.0603,-325.9077,94.9483,2.6159
378,301.8396,-325.6511,94.8789,2.616
379,301.5489,-325.3282,94.7876,2.6172
380,301.1959,-324.9471,94.6766,2.6192
381,300.7887,-324.5157,94.5486,2.622
382,300.3355,-324.0427,94.4061,2.6254
383,299.8454,-323.5375,94.2521,2.6292
384,299.3278,-323.0099,94.0894,2.6334
385,298.793,-322.4706,93.9213,2.6377
386,298.2521,-321.833,93.7513,2.6433
387,297.7191,-321.3073,93.5837,2.6476
388,297.2038,-320.8052,93.4217,2.6516
389,296.7179,-320.3379,93.269,2.6553
390,296.272,-320.0617,93.1288,2.6566
391,295.8768,-319.6937,93.0046,2.6591
392,295.5376,-319.3898,92.898,2.6606
393,295.2586,-319.141,92.8103,2.6617
394,295.0399,-318.9514,92.7415,2.662
395,294.8785,-318.8161,92.6908,2.6618
396,294.7675,-318.5956,92.6559,2.6627
397,294.6975,-318.5367,92.6339,2.6618
398,294.6582,-318.5068,92.6215,2.6604
399,294.6347,-318.4862,92.6142,2.659
400,294.6142,-318.4623,92.6077,2.6576
401,294.5843,-318.4236,92.5983,2.6565
402,294.5348,-318.361,92.5828,2.6558
403,294.4579,-318.2685,92.5586,2.6555
404,294.3488,-318.1427,92.5243,2.6557
405,294.2065,-317.9844,92.4796,2.6563
406,294.0333,-317.7977,92.4251,2.6573
407,293.8349,-317.5896,92.3628,2.6588
408,293.6196,-317.3696,92.2951,2.6606
409,293.3977,-317.1485,92.2253,2.6625
410,293.1801,-316.9371,92.1569,2.6645
411,292.9773,-316.7434,92.0932,2.6666
412,292.7979,-316.5778,92.0368,2.6685
413,292.6471,-316.442,91.9894,2.6701
414,292.5263,-316.3351,91.9514,2.6716
415,292.4323,-316.2519,91.9219,2.6731
416,292.3579,-316.1833,91.8985,2.6745
417,292.2922,-316.1168,91.8778,2.6763
418,292.2219,-316.0386,91.8557,2.6784
419,292.1327,-316.132,91.8277,2.6791
420,292.0174,-315.9958,91.7915,2.6824
421,291.8582,-315.811,91.7414,2.6865
422,291.6466,-315.5713,91.6749,2.6914
